movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Season Of The Witch,Season of the Witch,2011,"Season of the Witch is a movie starring Nicolas Cage, Ron Perlman, and Claire Foy. Fourteenth century knights transport a suspected witch to a monastery, where monks deduce her powers could be the source of the Black Plague.",https://www.imdb.com/video/imdb/vi3830683929,tt0479997,5.4,,Cinemascore,NA
Every Day,Every Day,2011,"Every Day is a movie starring Liev Schreiber, Helen Hunt, and Carla Gugino. A comedy about a New York City couple (Schreiber and Hunt) in romantic and family crises.",https://www.imdb.com/video/imdb/vi849189657,tt1301990,5.7,62,Cinemascore,NA
The Dilemma,The Dilemma,2011,"The Dilemma is a movie starring Vince Vaughn, Kevin James, and Winona Ryder. A man discovers that his best friend's wife is having an affair.",https://www.imdb.com/video/imdb/vi4268071193,tt1578275,5.3,24,Cinemascore,NA
The Green Hornet,The Green Hornet,2011,"The Green Hornet is a movie starring Seth Rogen, Jay Chou, and Christoph Waltz. Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime...",https://www.imdb.com/video/imdb/vi21600537,tt0990407,5.8,,Cinemascore,NA
No Strings Attached,No Strings Attached,2011,"No Strings Attached is a movie starring Natalie Portman, Ashton Kutcher, and Kevin Kline. A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.",https://www.imdb.com/video/imdb/vi1902549273,tt1411238,6.2,,Cinemascore,NA
The Company Men,The Company Men,2011,"The Company Men is a movie starring Ben Affleck, Chris Cooper, and Tommy Lee Jones. The story centers on a year in the life of three men trying to survive a round of corporate downsizing at a major company - and how that affects...",https://www.imdb.com/video/imdb/vi3740599833,tt1172991,6.7,67,Cinemascore,NA
The Way Back,The Way Back,2011,"The Way Back is a movie starring Jim Sturgess, Ed Harris, and Colin Farrell. Siberian gulag escapees travel 4,000 miles by foot to freedom in India.",https://www.imdb.com/video/imdb/vi1465030937,tt1023114,7.3,74,Cinemascore,NA
Biutiful,Biutiful,2011,"Biutiful is a movie starring Javier Bardem, Maricel Álvarez, and Hanaa Bouchaib. This is the story of Uxbal, a man living in this world, but able to see his death, which guides his every move.",https://www.imdb.com/video/imdb/vi3934586393,tt1164999,7.5,66,Cinemascore,NA
From Prada To Nada,From Prada to Nada,2011,"From Prada to Nada is a movie starring Camilla Belle, Alexa PenaVega, and Kuno Becker. A Latina spin on Jane Austen's ""Sense and Sensibility,"" where two spoiled sisters who have been left penniless after their father's sudden death...",https://www.imdb.com/video/imdb/vi1774782745,tt0893412,5.5,20,Cinemascore,NA
IP Man 2,Yip Man 2,2011,"Yip Man 2 is a movie starring Donnie Yen, Xiaoming Huang, and Sammo Kam-Bo Hung. Centering on Ip Man's migration to Hong Kong in 1949 as he attempts to propagate his discipline of Wing Chun martial arts.",https://www.imdb.com/video/imdb/vi3918698521,tt1386932,7.5,,Cinemascore,NA
Kaboom,Kaboom,2011,"Kaboom is a movie starring Thomas Dekker, Haley Bennett, and Chris Zylka. A sexually ""undeclared"" college freshman's clairvoyant/prophetic dreams are the first sign that something very strange is going on involving his class-mates...",https://www.imdb.com/video/imdb/vi2583337753,tt1523483,5.7,60,Cinemascore,NA
Kaboom,Kaboom,2011,"Kaboom is a movie starring Thomas Dekker, Haley Bennett, and Chris Zylka. A sexually ""undeclared"" college freshman's clairvoyant/prophetic dreams are the first sign that something very strange is going on involving his class-mates...",https://www.imdb.com/video/imdb/vi2583337753,tt1523483,5.7,60,Cinemascore,NA
Rage,NA,2011,NA,NA,NA,NA,,Cinemascore,NA
The Mechanic,The Mechanic,2011,"The Mechanic is a movie starring Jason Statham, Ben Foster, and Donald Sutherland. Follows an elite hit man as he teaches his trade to an apprentice who has a connection to one of his previous victims.",https://www.imdb.com/video/imdb/vi2673842457,tt0472399,6.6,53,Cinemascore,NA
The Rite,The Rite,2011,"The Rite is a movie starring Colin O'Donoghue, Anthony Hopkins, and Ciarán Hinds. American seminary student Michael Kovak (Colin O'Donaghue) travels to Italy to take an exorcism course.",https://www.imdb.com/video/imdb/vi547002393,tt1161864,6.0,21,Cinemascore,NA
Sanctum,Sanctum,2011,"Sanctum is a movie starring Rhys Wakefield, Allison Cratchley, and Christopher James Baker. An underwater cave diving team experiences a life-threatening crisis during an expedition to the unexplored and least accessible cave system...",https://www.imdb.com/video/imdb/vi1483905305,tt0881320,5.9,30,Cinemascore,NA
