movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Out Of Liberty,Out of Liberty,2019,"Out of Liberty is a movie starring Corbin Allred, Larry Bagby, and Casey Elliott. Winter 1839. LIBERTY, MISSOURI. Local jailer, Samuel Tillery (Jasen Wade) is tasked with watching Missouri's most wanted men as they await their...",NA,tt9844368,8.7,,Cinemascore,NA
The Goldfinch,The Goldfinch,2019,"The Goldfinch is a movie starring Oakes Fegley, Ansel Elgort, and Nicole Kidman. A boy in New York is taken in by a wealthy Upper East Side family after his mother is killed in a bombing at the Metropolitan Museum of Art.",https://www.imdb.com/video/imdb/vi1449638937,tt3864056,6.3,24,Cinemascore,NA
The Harvesters,Die Stropers,2019,"Die Stropers is a movie starring Brent Vermeulen, Alex van Dyk, and Juliana Venter. South Africa, Free State region, isolated stronghold to the Afrikaans white ethnic minority culture. In this conservative farming territory obsessed...",https://www.imdb.com/video/imdb/vi3288579097,tt8144850,6.3,91,Cinemascore,NA
The Sound Of Silence,The Sound of Silence,2019,"The Sound of Silence is a movie starring Peter Sarsgaard, Rashida Jones, and Tony Revolori. A successful ""house tuner"" in New York City, who calibrates the sound in people's homes in order to adjust their moods, meets a client with...",https://www.imdb.com/video/imdb/vi2035203097,tt9352926,5.0,63,Cinemascore,NA
Midnight Traveler,Midnight Traveler,2019,"Midnight Traveler is a movie starring Hassan Fazili, Nargis Fazili, and Zahra Fazili. When the Taliban puts a bounty on Afghan director Hassan Fazili's head, he is forced to flee with his wife and two young daughters. Capturing...",https://www.imdb.com/video/imdb/vi2605169689,tt8923500,6.8,100,Cinemascore,NA
Ad Astra,Ad Astra,2019,"Ad Astra is a movie starring Brad Pitt, Tommy Lee Jones, and Ruth Negga. Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now,...",https://www.imdb.com/video/imdb/vi3836788505,tt2935510,7.1,83,Cinemascore,NA
Britt-Marie Was Here,Britt-Marie var här,2019,"Britt-Marie var här is a movie starring Pernilla August, Vera Vitali, and Peter Haber. Britt-Marie, 63 years old, has just left a 40 year old marriage and her long life as a house wife. Being told she is a nagging passive aggressive...",https://www.imdb.com/video/imdb/vi2008661785,tt8103160,4.9,70,Cinemascore,NA
Corporate Animals,Corporate Animals,2019,"Corporate Animals is a movie starring Demi Moore, Ed Helms, and Jessica Williams. Lucy (Demi Moore) is the egotistical megalomaniac CEO of Incredible Edibles, America's premier provider of edible cutlery. In her infinite wisdom,...",https://www.imdb.com/video/imdb/vi3595353113,tt8366502,4.3,28,Cinemascore,NA
Don't Be Nice,Don't Be Nice,2019,"Don't Be Nice is a movie starring Lauren Whitehead, Ashley August, and Sean DesVignes. A team of young New York City Slam Poets finds its voice as it competes for the National Championship during the summer of 2016.",NA,tt7391970,9.3,100,Cinemascore,NA
Downton Abbey,Downton Abbey,2019,"Downton Abbey is a movie starring Tuppence Middleton, Michelle Dockery, and Maggie Smith. The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early 20th century.",https://www.imdb.com/video/imdb/vi2561130265,tt6398184,7.8,84,Cinemascore,NA
