movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
56 Up,56 Up,2013,"56 Up is a TV movie starring Michael Apted, Bruce Balden, and Jacqueline Bassett. Director Michael Apted revisits the same group of British-born adults after a 7 year wait. The subjects are interviewed as to the changes that have...",https://www.imdb.com/video/imdb/vi2544805657,tt2147134,7.9,99,Cinemascore,NA
A Dark Truth,A Dark Truth,2013,"A Dark Truth is a movie starring Andy Garcia, Kim Coates, and Deborah Kara Unger. A former CIA operative turned political talk show host is hired by a disaffected corporate shareholder to expose her company's cover-up of an incident...",https://www.imdb.com/video/imdb/vi2209720089,tt2083379,5.6,8,Cinemascore,NA
Table No. 21,Table No.21,2013,"Table No.21 is a movie starring Paresh Rawal, Rajeev Khandelwal, and Tina Desai. A couple is drawn into a game show with a whooping winning prize. However the game turns into more than a survival for them with no escape.",NA,tt2229842,7.1,,Cinemascore,NA
Texas Chainsaw Massacre,Texas Chainsaw 3D,2013,"Texas Chainsaw 3D is a movie starring Alexandra Daddario, Tania Raymonde, and Scott Eastwood. A young woman travels to Texas to collect an inheritance; little does she know that an encounter with a chainsaw-wielding killer is part...",https://www.imdb.com/video/imdb/vi937141273,tt1572315,4.8,37,Cinemascore,NA
A Haunted House,A Haunted House,2013,"A Haunted House is a movie starring Marlon Wayans, Essence Atkins, and Marlene Forte. Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to...",https://www.imdb.com/video/imdb/vi3104810009,tt2243537,5.0,10,Cinemascore,NA
Gangster Squad,Gangster Squad,2013,"Gangster Squad is a movie starring Sean Penn, Ryan Gosling, and Emma Stone. It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of...",https://www.imdb.com/video/imdb/vi1360831513,tt1321870,6.7,,Cinemascore,NA
Let My People Go,Let My People Go!,2013,"Let My People Go! is a movie starring Nicolas Maury, Carmen Maura, and Jean-François Stévenin. At Passover, Reuben, a French-Jewish man living in Finland with his Nordic boyfriend, finds himself back in Paris with his zany family...",https://www.imdb.com/video/imdb/vi243705625,tt1841713,6.0,,Cinemascore,NA
Struck By Lightning,Struck by Lightning,2013,"Struck by Lightning is a movie starring Chris Colfer, Rebel Wilson, and Christina Hendricks. A high schooler recounts the way he blackmailed his fellow classmates into contributing to his literary magazine.",https://www.imdb.com/video/imdb/vi3931743257,tt1791614,6.3,,Cinemascore,NA
Broken City,Broken City,2013,"Broken City is a movie starring Mark Wahlberg, Russell Crowe, and Catherine Zeta-Jones. In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful...",https://www.imdb.com/video/imdb/vi4181960473,tt1235522,6.2,28,Cinemascore,NA
Mama,Mama,2013,"Mama is a movie starring Jessica Chastain, Nikolaj Coster-Waldau, and Megan Charpentier. A young couple take in their two nieces only to suspect that a supernatural spirit named Mama has latched itself to their family.",https://www.imdb.com/video/imdb/vi1619573529,tt2023587,6.2,,Cinemascore,NA
