movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
The Forest,The Forest,2016,"The Forest is a movie starring Natalie Dormer, Eoin Macken, and Stephanie Vogt. A woman goes into Japan's Suicide Forest to find her twin sister, and confronts supernatural terror.",https://www.imdb.com/video/imdb/vi2489430809,tt3387542,4.8,,Cinemascore,NA
The Masked Saint,The Masked Saint,2016,"The Masked Saint is a movie starring Brett Granstaff, Lara Jean Chorostecki, and T.J. McGibbon. A pastor and professional wrestler accepts a position at a struggling church where he helps the community both in his official capacity...",https://www.imdb.com/video/imdb/vi773173785,tt3103166,4.6,14,Cinemascore,NA
13 Hours,13 Hours,2016,"13 Hours is a movie starring John Krasinski, Pablo Schreiber, and James Badge Dale. During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",https://www.imdb.com/video/imdb/vi481015065,tt4172430,7.3,,Cinemascore,NA
Band Of Robbers,Band of Robbers,2016,"Band of Robbers is a movie starring Kyle Gallner, Adam Nee, and Matthew Gray Gubler. Tom Sawyer and Huck Finn are grown men, still searching for the hidden treasure that has eluded them since childhood.",https://www.imdb.com/video/imdb/vi502379033,tt4048668,6.0,78,Cinemascore,NA
Moonwalkers,Moonwalkers,2016,"Moonwalkers is a movie starring Rupert Grint, Ron Perlman, and Robert Sheehan. After failing to locate the legendary Stanley Kubrick, an unstable CIA agent must instead team up with a seedy rock band manager to develop the biggest...",NA,tt2718440,6.1,,Cinemascore,NA
Norm Of The North,Norm of the North,2016,"Norm of the North is a movie starring Rob Schneider, Heather Graham, and Ken Jeong. When a real estate development invades his Arctic home, Norm and his three lemming friends head to New York City, where Norm becomes the mascot of...",https://www.imdb.com/video/imdb/vi3556749849,tt1594972,3.4,9,Cinemascore,NA
Ride Along 2,Ride Along 2,2016,"Ride Along 2 is a movie starring Ice Cube, Kevin Hart, and Tika Sumpter. As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta...",https://www.imdb.com/video/imdb/vi417772057,tt2869728,5.9,13,Cinemascore,NA
The Benefactor,The Benefactor,2016,"The Benefactor is a movie starring Richard Gere, Dakota Fanning, and Theo James. A philanthropist meddles in the lives of newly-married couples in an attempt to relive his past.",https://www.imdb.com/video/imdb/vi1744089625,tt3165630,5.1,26,Cinemascore,NA
Dirty Grandpa,Dirty Grandpa,2016,"Dirty Grandpa is a movie starring Robert De Niro, Zac Efron, and Zoey Deutch. Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",https://www.imdb.com/video/imdb/vi1755362585,tt1860213,5.9,11,Cinemascore,NA
Ip Man 3,Yip Man 3,2016,"Yip Man 3 is a movie starring Donnie Yen, Lynn Xiong, and Jin Zhang. When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.",https://www.imdb.com/video/imdb/vi3286219289,tt2888046,7.1,78,Cinemascore,NA
The Boy,The Boy,2016,"The Boy is a movie starring Lauren Cohan, Rupert Evans, and James Russell. An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events...",https://www.imdb.com/video/imdb/vi2191504665,tt3882082,6.0,30,Cinemascore,NA
Lazer Team,Lazer Team,2016,"Lazer Team is a movie starring Burnie Burns, Gavin Free, and Michael Jones. Four losers are thrust into the position of saving the world when they stumble upon a UFO crash site and become genetically equipped to the battle suit on...",https://www.imdb.com/video/imdb/vi2599400729,tt3864024,5.6,59,Cinemascore,NA
Fifty Shades Of Black,Fifty Shades of Black,2016,"Fifty Shades of Black is a movie starring Marlon Wayans, Kali Hawk, and Fred Willard. An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.",https://www.imdb.com/video/imdb/vi518435353,tt4667094,3.5,7,Cinemascore,NA
