movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Bitch Slap,Bitch Slap,2010,"Bitch Slap is a movie starring Julia Voth, Erin Cummings, and America Olivo. Three bad girls travel to a remote desert hideaway to steal $200 million in diamonds from a ruthless underworld kingpin.",https://www.imdb.com/video/imdb/vi1214121241,tt1212974,4.4,,Cinemascore,NA
Crazy On The Outside,Crazy on the Outside,2010,"Crazy on the Outside is a movie starring Tim Allen, Sigourney Weaver, and Jeanne Tripplehorn. A recently paroled ex-con who has trouble adjusting to the wacky normalcy of life outside of prison. He has spent the last three years...",https://www.imdb.com/video/imdb/vi2008679449,tt1196134,5.5,8,Cinemascore,NA
Daybreakers,Daybreakers,2010,"Daybreakers is a movie starring Ethan Hawke, Willem Dafoe, and Sam Neill. In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their...",https://www.imdb.com/video/imdb/vi1687225369,tt0433362,6.4,68,Cinemascore,NA
Wonderful World,Wonderful World,2010,"Wonderful World is a movie starring Matthew Broderick, Sanaa Lathan, and Michael Kenneth Williams. Ben Singer has his cynical worldview darkened by his roommate Ibu's sudden medical situation, though the arrival of Ibu's sister,...",https://www.imdb.com/video/imdb/vi3192718617,tt0857275,6.1,,Cinemascore,NA
Youth In Revolt,Youth in Revolt,2010,"Youth in Revolt is a movie starring Michael Cera, Portia Doubleday, and Ray Liotta. While his trailer trash parents teeter on the edge of divorce, Nick Twisp sets his sights on dream girl Sheeni Saunders, hoping that she'll be the...",https://www.imdb.com/video/imdb/vi3091924249,tt0403702,6.4,66,Cinemascore,NA
The Book Of Eli,The Book of Eli,2010,"The Book of Eli is a movie starring Denzel Washington, Mila Kunis, and Ray Stevenson. A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving...",https://www.imdb.com/video/imdb/vi862650905,tt1037705,6.9,47,Cinemascore,NA
The Last Station,The Last Station,2010,"The Last Station is a movie starring Helen Mirren, James McAvoy, and Christopher Plummer. A historical drama that illustrates Russian author Leo Tolstoy's struggle to balance fame and wealth with his commitment to a life devoid of...",https://www.imdb.com/video/imdb/vi2454521113,tt0824758,7.0,,Cinemascore,NA
The Spy Next Door,The Spy Next Door,2010,"The Spy Next Door is a movie starring Jackie Chan, Amber Valletta, and Billy Ray Cyrus. Former C.I.A. spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to...",https://www.imdb.com/video/imdb/vi3031631129,tt1273678,5.4,,Cinemascore,NA
Extraordinary Measures,Extraordinary Measures,2010,"Extraordinary Measures is a movie starring Brendan Fraser, Keri Russell, and Harrison Ford. A drama centered on the efforts of John and Aileen Crowley to find a researcher who might have a cure for their two children's rare genetic...",https://www.imdb.com/video/imdb/vi2237007129,tt1244659,6.4,28,Cinemascore,NA
Legion,Legion,2010,"Legion is a movie starring Paul Bettany, Dennis Quaid, and Charles S. Dutton. When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named...",https://www.imdb.com/video/imdb/vi3208906009,tt1038686,5.2,,Cinemascore,NA
The Tooth Fairy,Tooth Fairy,2010,"Tooth Fairy is a movie starring Dwayne Johnson, Ashley Judd, and Julie Andrews. A bad deed on the part of a tough minor-league hockey player results in an unusual sentence: He must serve one week as a real-life tooth fairy.",https://www.imdb.com/video/imdb/vi3394634265,tt0808510,5.0,,Cinemascore,NA
To Save A Life,To Save a Life,2010,"To Save a Life is a movie starring Randy Wayne, Deja Kreutzberg, and Joshua Weigel. After a childhood friend's death, Jake Taylor, an all-star athlete must change his life - and sacrifice his dreams to save the lives of others.",https://www.imdb.com/video/imdb/vi3199992857,tt1270286,6.9,36,Cinemascore,NA
Edge Of Darkness,Edge of Darkness,2010,"Edge of Darkness is a movie starring Mel Gibson, Ray Winstone, and Danny Huston. As homicide detective Thomas Craven investigates the death of his activist daughter, he uncovers not only her secret life, but a corporate cover-up and...",https://www.imdb.com/video/imdb/vi2723086873,tt1226273,6.6,56,Cinemascore,NA
Falling Awake,Falling Awake,2010,"Falling Awake is a movie starring Jenna Dewan, Nicholas Gonzalez, and J.D. Williams. A story about survival beyond one's class and condition, and the profound changes that occur when a young musician awakens the magic, the music and...",https://www.imdb.com/video/imdb/vi185403161,tt1043756,5.9,25,Cinemascore,NA
When In Rome,When in Rome,2010,"When in Rome is a movie starring Kristen Bell, Josh Duhamel, and Anjelica Huston. Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from...",https://www.imdb.com/video/imdb/vi4230414873,tt1185416,5.6,16,Cinemascore,NA
Ajami,Ajami,2010,"Ajami is a movie starring Fouad Habash, Nisrin Siksik, and Elias Saba. Ajami is the religiously mixed community of Muslims and Christians in Tel Aviv. These are five stories about the everyday life in Ajami.",https://www.imdb.com/video/imdb/vi3525903385,tt1077262,7.3,97,Cinemascore,NA
Dear John,Dear John,2010,"Dear John is a movie starring Channing Tatum, Amanda Seyfried, and Richard Jenkins. A romantic drama about a soldier who falls for a conservative college student while he's home on leave.",https://www.imdb.com/video/imdb/vi3014853913,tt0989757,6.3,29,Cinemascore,NA
District B13,District 9,2010,"District 9 is a movie starring Sharlto Copley, David James, and Jason Cope. An extraterrestrial race, forced to live in slum-like conditions on Earth, suddenly finds a kindred spirit in a government agent who is exposed to their...",https://www.imdb.com/video/imdb/vi3896050201,tt1136608,7.9,80,Cinemascore,NA
From Paris With Love,From Paris with Love,2010,"From Paris with Love is a movie starring John Travolta, Jonathan Rhys Meyers, and Kasia Smutniak. In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the...",https://www.imdb.com/video/imdb/vi1726415897,tt1179034,6.5,38,Cinemascore,NA
My Name Is Khan,My Name Is Khan,2010,"My Name Is Khan is a movie starring Shah Rukh Khan, Kajol, and Sheetal Menon. An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country...",https://www.imdb.com/video/imdb/vi2049377305,tt1188996,8.0,85,Cinemascore,NA
Percy Jackson &amp; The Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,2010,"Percy Jackson & the Olympians: The Lightning Thief is a movie starring Logan Lerman, Kevin McKidd, and Steve Coogan. A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle...",https://www.imdb.com/video/imdb/vi613221401,tt0814255,5.9,,Cinemascore,NA
The Wolfman,The Wolfman,2010,"The Wolfman is a movie starring Benicio Del Toro, Anthony Hopkins, and Emily Blunt. Upon his return to his ancestral homeland, an American man is bitten, and subsequently cursed by, a werewolf.",https://www.imdb.com/video/imdb/vi824312857,tt0780653,5.8,,Cinemascore,NA
Valentine's Day,Valentine's Day,2010,"Valentine's Day is a movie starring Julia Roberts, Jamie Foxx, and Anne Hathaway. Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.",https://www.imdb.com/video/imdb/vi2244215833,tt0817230,5.7,,Cinemascore,NA
Celine: Through the Eyes of the World,Celine: Through the Eyes of the World,2010,"Celine: Through the Eyes of the World is a movie starring René Angélil, René-Charles Angélil, and Céline Dion. A documentary on Céline Dion's 2008-2009 Taking Chances world tour.",https://www.imdb.com/video/imdb/vi2910979097,tt1570982,7.8,33,Cinemascore,NA
