movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
The Devil Inside,The Devil Inside,2012,"The Devil Inside is a movie starring Fernanda Andrade, Simon Quarterman, and Evan Helmuth. In Italy, a woman becomes involved in a series of unauthorized exorcisms during her mission to discover what happened to her mother, who...",https://www.imdb.com/video/imdb/vi1191026201,tt1560985,4.2,6,Cinemascore,NA
Beauty And The Beast 3D,Beauty and the Beast,2012,"Beauty and the Beast is a TV series starring Kristin Kreuk, Jay Ryan, and Nina Lisandrello. A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a...",NA,tt2193041,7.1,94,Cinemascore,NA
Contraband,Contraband,2012,"Contraband is a movie starring Mark Wahlberg, Giovanni Ribisi, and Kate Beckinsale. To protect his brother-in-law from a drug lord, a former smuggler heads to Panama to score millions of dollars in counterfeit bills.",https://www.imdb.com/video/imdb/vi3802766873,tt1524137,6.5,,Cinemascore,NA
Joyful Noise,Joyful Noise,2012,"Joyful Noise is a movie starring Queen Latifah, Dolly Parton, and Keke Palmer. G.G. Sparrow faces off with her choir's newly appointed director, Vi Rose Hill, over the group's direction as they head into a national competition.",https://www.imdb.com/video/imdb/vi1823973145,tt1710396,5.7,,Cinemascore,NA
The Divide,The Divide,2012,"The Divide is a movie starring Lauren German, Michael Biehn, and Milo Ventimiglia. Survivors of a nuclear attack are grouped together for days in the basement of their apartment building, where fear and dwindling supplies wear away...",https://www.imdb.com/video/imdb/vi4151221785,tt1535616,5.8,,Cinemascore,NA
Carol Channing Larger Than Life,Carol Channing: Larger Than Life,2012,"Carol Channing: Larger Than Life is a movie starring Carol Channing, Eddie Albert, and Loni Anderson. A documentary on Broadway legend Carol Channing.",https://www.imdb.com/video/imdb/vi2336661017,tt1737122,7.6,90,Cinemascore,NA
Haywire,Haywire,2012,"Haywire is a movie starring Gina Carano, Ewan McGregor, and Michael Fassbender. A black ops super soldier seeks payback after she is betrayed and set up during a mission.",https://www.imdb.com/video/imdb/vi405511705,tt1506999,5.8,,Cinemascore,NA
Red Tails,Red Tails,2012,"Red Tails is a movie starring Cuba Gooding Jr., Gerald McRaney, and David Oyelowo. A crew of African American pilots in the Tuskegee training program, having faced segregation while kept mostly on the ground during World War II, are...",https://www.imdb.com/video/imdb/vi1780522521,tt0485985,5.9,40,Cinemascore,NA
Underworld 4: Awakening,Underworld Awakening,2012,"Underworld Awakening is a movie starring Kate Beckinsale, Michael Ealy, and India Eisley. When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene...",https://www.imdb.com/video/imdb/vi1011654169,tt1496025,6.4,,Cinemascore,NA
Man On A Ledge,Man on a Ledge,2012,"Man on a Ledge is a movie starring Sam Worthington, Elizabeth Banks, and Jamie Bell. As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop, the biggest diamond heist ever...",https://www.imdb.com/video/imdb/vi4159021337,tt1568338,6.6,32,Cinemascore,NA
One For The Money,One for the Money,2012,"One for the Money is a movie starring Katherine Heigl, Jason O'Mara, and Daniel Sunjata. Unemployed and newly-divorced Stephanie Plum lands a job at her cousin's bail-bond business, where her first assignment puts her on the trail...",https://www.imdb.com/video/imdb/vi3887505177,tt1598828,5.3,2,Cinemascore,NA
The Grey (2012),Grey Wolf: Hitler's Escape to Argentina,2012,"Grey Wolf: Hitler's Escape to Argentina is a movie starring Dante Venesio, Maria Heller, and Pietro Gian. This is a dramatization of supposed real events - the untold story of Adolf Hitler's escape to Argentina at the end of WW2....",NA,tt2493402,6.2,,Cinemascore,NA
Big Miracle,Big Miracle,2012,"Big Miracle is a movie starring Drew Barrymore, John Krasinski, and John Pingayak. In small-town Alaska, a news reporter recruits his ex-girlfriend - a Greenpeace volunteer - on a campaign to save a family of gray whales trapped by...",https://www.imdb.com/video/imdb/vi3334184729,tt1430615,6.5,75,Cinemascore,NA
Chronicle,Chronicle,2012,"Chronicle is a movie starring Dane DeHaan, Alex Russell, and Michael B. Jordan. Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and...",https://www.imdb.com/video/imdb/vi2464325145,tt1706593,7.0,85,Cinemascore,NA
The Innkeepers,The Innkeepers,2012,"The Innkeepers is a movie starring Sara Paxton, Pat Healy, and Kelly McGillis. During the final days at the Yankee Pedlar Inn, two employees determined to reveal the hotel's haunted past begin to experience disturbing events as old...",https://www.imdb.com/video/imdb/vi3720453657,tt1594562,5.4,80,Cinemascore,NA
W.E.,W.E.,2012,"W.E. is a movie starring Abbie Cornish, James D'Arcy, and Andrea Riseborough. The affair between King Edward VIII and American divorcée Wallis Simpson, and a contemporary romance between a married woman and a Russian security guard.",https://www.imdb.com/video/imdb/vi2921176601,tt1536048,6.3,,Cinemascore,NA
Woman In Black,The Woman in Black,2012,"The Woman in Black is a movie starring Daniel Radcliffe, Janet McTeer, and Ciarán Hinds. A young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals.",https://www.imdb.com/video/imdb/vi385981977,tt1596365,6.4,,Cinemascore,NA
In Darkness,In Darkness,2012,"In Darkness is a movie starring Robert Wieckiewicz, Benno Fürmann, and Agnieszka Grochowska. A dramatization of one man's rescue of Jewish refugees in the German-occupied Polish city of Lvov.",https://www.imdb.com/video/imdb/vi2555682329,tt1417075,7.3,46,Cinemascore,NA
Journey 2 : The Mysterious Island,Journey 2: The Mysterious Island,2012,"Journey 2: The Mysterious Island is a movie starring Josh Hutcherson, Dwayne Johnson, and Michael Caine. Sean Anderson partners with his mom's husband on a mission to find his grandfather, who is thought to be missing on a mythical...",https://www.imdb.com/video/imdb/vi3253510425,tt1397514,5.8,44,Cinemascore,NA
Safe House,Safe House,2012,"Safe House is a movie starring Denzel Washington, Ryan Reynolds, and Robert Patrick. A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with...",https://www.imdb.com/video/imdb/vi3006438937,tt1599348,6.7,,Cinemascore,NA
The Vow,The Vow,2012,"The Vow is a movie starring Rachel McAdams, Channing Tatum, and Sam Neill. A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again.",https://www.imdb.com/video/imdb/vi236559897,tt1606389,6.8,,Cinemascore,NA
Bullhead,Rundskop,2012,"Rundskop is a movie starring Matthias Schoenaerts, Jeroen Perceval, and Jeanne Dandoy. Sint-Truiden, Belgium. Jacky, a young cattle farmer who is constantly pumped on steroids and hormones, is approached by a veterinarian to make a...",https://www.imdb.com/video/imdb/vi791781657,tt1821593,7.4,86,Cinemascore,NA
Ghost Rider 2 - Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,2012,"Ghost Rider: Spirit of Vengeance is a movie starring Nicolas Cage, Ciarán Hinds, and Idris Elba. Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is...",https://www.imdb.com/video/imdb/vi2284953881,tt1071875,4.3,,Cinemascore,NA
On The Ice,On the Ice,2012,"On the Ice is a movie starring Josiah Patkotak, Frank Qutuq Irelan, and John Miller. In Barrow, Alaska, teenagers Qalli and Aivaaq find their bond tested when a seal-hunting trip goes wrong, resulting in the death of their friend.",https://www.imdb.com/video/imdb/vi331718937,tt1663660,6.3,67,Cinemascore,NA
The Secret World Of Arrietty,Kari-gurashi no Arietti,2012,"Kari-gurashi no Arietti is a movie starring Bridgit Mendler, Amy Poehler, and Will Arnett. The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home....",https://www.imdb.com/video/imdb/vi1087741465,tt1568921,7.6,95,Cinemascore,NA
Thin Ice,The Convincer,2012,"The Convincer is a movie starring Greg Kinnear, Billy Crudup, and Alan Arkin. A dishonest insurance salesman's life quickly disintegrates during a Wisconsin winter when he teams up with a psychopath to steal a rare violin at the...",https://www.imdb.com/video/imdb/vi3701973273,tt1512240,6.2,,Cinemascore,NA
This Means War,This Means War,2012,"This Means War is a movie starring Reese Witherspoon, Chris Pine, and Tom Hardy. A pair of C.I.A. operatives wage an epic battle against one another when they discover they are dating the same woman.",https://www.imdb.com/video/imdb/vi1190305305,tt1596350,6.3,26,Cinemascore,NA
Undefeated,Undefeated,2012,"Undefeated is a movie starring Bill Courtney, O.C. Brown, and Montrail 'Money' Brown. Chronicles three underprivileged students from inner-city Memphis and their volunteer coach who tries to help them beat the odds on and off the...",https://www.imdb.com/video/imdb/vi2596577561,tt1860355,7.7,,Cinemascore,NA
Act Of Valor,Act of Valor,2012,"Act of Valor is a movie starring Alex Veadov, Roselyn Sanchez, and Nestor Serrano. An elite team of Navy SEALs embark on a covert mission to recover a kidnapped CIA agent.",https://www.imdb.com/video/imdb/vi298688793,tt1591479,6.5,26,Cinemascore,NA
Gone,Gone,2012,"Gone is a movie starring Amanda Seyfried, Jennifer Carpenter, and Wes Bentley. A woman is convinced her kidnapper has returned when her sister goes missing.",https://www.imdb.com/video/imdb/vi1763286553,tt1838544,5.9,,Cinemascore,NA
Good Deeds,Good Deeds,2012,"Good Deeds is a movie starring Tyler Perry, Gabrielle Union, and Thandie Newton. Businessman Wesley Deeds is jolted out of his scripted life when he meets Lindsey, a single mother who works on the cleaning crew in his office...",https://www.imdb.com/video/imdb/vi281321753,tt1885265,5.5,32,Cinemascore,NA
Wanderlust,Wanderlust,2012,"Wanderlust is a movie starring Jennifer Aniston, Paul Rudd, and Malin Akerman. Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune...",https://www.imdb.com/video/imdb/vi2251464217,tt1655460,5.6,,Cinemascore,NA
Being Flynn,Being Flynn,2012,"Being Flynn is a movie starring Paul Dano, Robert De Niro, and Julianne Moore. Working in a Boston homeless shelter, Nick Flynn re-encounters his father, a con man and self-proclaimed poet. Sensing trouble in his own life, Nick...",https://www.imdb.com/video/imdb/vi1141612057,tt0455323,6.4,51,Cinemascore,NA
Project X,Project X,2012,"Project X is a movie starring Thomas Mann, Oliver Cooper, and Jonathan Daniel Brown. 3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the...",https://www.imdb.com/video/imdb/vi888512793,tt1636826,6.6,,Cinemascore,NA
The Lorax,The Lorax,2012,"The Lorax is a movie starring Zac Efron, Taylor Swift, and Danny DeVito. A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the...",https://www.imdb.com/video/imdb/vi1238212889,tt1482459,6.4,,Cinemascore,NA
Tim And Eric's Billion Dollar Movie,Tim and Eric's Billion Dollar Movie,2012,"Tim and Eric's Billion Dollar Movie is a movie starring Tim Heidecker, Eric Wareheim, and Robert Loggia. Two guys get a billion dollars to make a movie, only to watch their dream run off course. In order to make the money back, they...",https://www.imdb.com/video/imdb/vi4282949145,tt1855401,5.4,36,Cinemascore,NA
A Thousand Words,A Thousand Words,2012,"A Thousand Words is a movie starring Eddie Murphy, Cliff Curtis, and Kerry Washington. After stretching the truth on a deal with a spiritual guru, literary agent Jack McCall finds a Bodhi tree on his property. Its appearance holds a...",https://www.imdb.com/video/imdb/vi673553945,tt0763831,5.9,,Cinemascore,NA
Footnote,Hearat Shulayim,2012,"Hearat Shulayim is a movie starring Shlomo Bar-Aba, Lior Ashkenazi, and Aliza Rosen. Eliezer and Uriel Shkolnik are father and son as well as rival professors in Talmudic Studies. When both men learn that Eliezer will be lauded for...",https://www.imdb.com/video/imdb/vi2501025305,tt1445520,7.1,90,Cinemascore,NA
Friends With Kids,Friends with Kids,2012,"Friends with Kids is a movie starring Jennifer Westfeldt, Adam Scott, and Maya Rudolph. Two best friends decide to have a child together while keeping their relationship platonic, so they can avoid the toll kids can take on romantic...",https://www.imdb.com/video/imdb/vi3690045721,tt1720616,6.1,68,Cinemascore,NA
Noise,Joyful Noise,2012,"Joyful Noise is a movie starring Queen Latifah, Dolly Parton, and Keke Palmer. G.G. Sparrow faces off with her choir's newly appointed director, Vi Rose Hill, over the group's direction as they head into a national competition.",https://www.imdb.com/video/imdb/vi1823973145,tt1710396,5.7,,Cinemascore,NA
Salmon Fishing in the Yemen,Salmon Fishing in the Yemen,2012,"Salmon Fishing in the Yemen is a movie starring Ewan McGregor, Emily Blunt, and Amr Waked. A fisheries expert is approached by a consultant to help realize a sheik's vision of bringing the sport of fly-fishing to the desert and...",https://www.imdb.com/video/imdb/vi3792806169,tt1441952,6.8,67,Cinemascore,NA
Silent House,Silent House,2012,"Silent House is a movie starring Elizabeth Olsen, Adam Trese, and Eric Sheffer Stevens. A girl is trapped inside her family's lakeside retreat and becomes unable to contact the outside world as supernatural forces haunt the house...",https://www.imdb.com/video/imdb/vi4010779417,tt1767382,5.2,,Cinemascore,NA
21 Jump Street,21 Jump Street,2012,"21 Jump Street is a movie starring Jonah Hill, Channing Tatum, and Ice Cube. A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.",https://www.imdb.com/video/imdb/vi1681366553,tt1232829,7.2,,Cinemascore,NA
House Of My Father,Casa de mi Padre,2012,"Casa de mi Padre is a movie starring Will Ferrell, Gael García Bernal, and Diego Luna. Scheming on a way to save their father's ranch, the Alvarez brothers find themselves in a war with Mexico's most feared drug lord.",https://www.imdb.com/video/imdb/vi1267376409,tt1702425,5.5,,Cinemascore,NA
Jeff Who Lives At Home,"Jeff, Who Lives at Home",2012,"Jeff, Who Lives at Home is a movie starring Jason Segel, Ed Helms, and Judy Greer. Dispatched from his basement room on an errand for his widowed mother, slacker Jeff might discover his destiny (finally) when he spends the day with...",https://www.imdb.com/video/imdb/vi1549902105,tt1588334,6.5,77,Cinemascore,NA
