movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Day of the Dead Bloodline,Day of the Dead: Bloodline,2018,"Day of the Dead: Bloodline is a movie starring Sophie Skelton, Johnathon Schaech, and Jeff Gum. A small group of military personnel and survivalists dwell in an underground bunker as they seek to find a cure in a world overrun by...",https://www.imdb.com/video/imdb/vi2816849945,tt3053228,3.4,13,Cinemascore,NA
Devil's Gate,Devil's Gate,2018,"Devil's Gate is a movie starring Amanda Schull, Shawn Ashmore, and Milo Ventimiglia. Seeking a missing woman in North Dakota, an FBI agent and a sheriff focus on her religious zealot husband but discover something far more sinister.",NA,tt4610748,5.1,29,Cinemascore,NA
Django,Django,2018,"Django is a movie starring Reda Kateb, Cécile de France, and Bea Palya. The story of Django Reinhardt, famous guitarist and composer, and his flight from German-occupied Paris in 1943.",https://www.imdb.com/video/imdb/vi2400631321,tt6247936,6.3,59,Cinemascore,NA
In Between,Bar Bahar,2018,"Bar Bahar is a movie starring Mouna Hawa, Sana Jammelieh, and Shaden Kanboura. Three Palestinian women living in an apartment in Tel Aviv try to find a balance between traditional and modern culture.",https://www.imdb.com/video/imdb/vi1719842841,tt5974388,7.3,98,Cinemascore,NA
Insidious 4 The Last Key,Insidious: The Last Key,2018,"Insidious: The Last Key is a movie starring Lin Shaye, Leigh Whannell, and Angus Sampson. Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet, as she is drawn back to her ghostly childhood home,...",https://www.imdb.com/video/imdb/vi1090959641,tt5726086,5.7,,Cinemascore,NA
The Strange Ones,The Strange Ones,2018,"The Strange Ones is a movie starring Alex Pettyfer, James Freedson-Jackson, and Emily Althaus. Mysterious events surround two travelers as they make their way across a remote American landscape. On the surface all seems normal, but...",https://www.imdb.com/video/imdb/vi3981031705,tt6014904,5.0,56,Cinemascore,NA
1987 When the Day Comes,1987,2018,"1987 is a movie starring Yoon-seok Kim, Jung-woo Ha, and Hae-jin Yoo. In 1987 Korea under an oppressive military regime, the unlawful interrogation and death of a college student ignite ordinary citizens to fight for the truth and...",NA,tt6493286,7.7,89,Cinemascore,NA
A Demon Within,A Demon Within,2018,"A Demon Within is a movie starring Charlene Amoia, Clint Hummel, and Patricia Ashley. A skeptical, small town doctor is forced to confront his personal demons in order to save the life of a teenage girl who has become possessed in...",https://www.imdb.com/video/imdb/vi244824089,tt3499358,3.3,,Cinemascore,NA
Abe and Phil's Last Poker Game,Abe & Phil's Last Poker Game,2018,"Abe & Phil's Last Poker Game is a movie starring Martin Landau, Paul Sorvino, and Maria Dizzia. Dr. Abe Mandelbaum has just moved into a new manor with his ailing wife. After forming an unlikely friendship with a womanizing gambler,...",https://www.imdb.com/video/imdb/vi1545386777,tt5175636,5.7,73,Cinemascore,NA
Acts of Violence,Acts of Violence,2018,"Acts of Violence is a movie starring Bruce Willis, Cole Hauser, and Shawn Ashmore. At a bachelorette party in a nightclub, the bride tells 2 guys offering blow to go away. They abduct her. The groom's 2 big brothers looked after...",https://www.imdb.com/video/imdb/vi3117004825,tt6684714,5.2,,Cinemascore,NA
Condorito The Movie,Condorito: La Película,2018,"Condorito: La Película is a movie starring Omar Chaparro, Jessica Cediel, and Cristián de la Fuente. Condorito embarks in a hilarious adventure to save the planet and his loved ones from an evil alien.",https://www.imdb.com/video/imdb/vi130267417,tt4494382,5.2,,Cinemascore,NA
Freak Show,Freak Show,2018,"Freak Show is a movie starring Alex Lawther, Ian Nelson, and AnnaSophia Robb. Follows the story of teenager Billy Bloom who, despite attending an ultra conservative high school, makes the decision to run for homecoming queen.",NA,tt5089534,6.3,50,Cinemascore,NA
Humor Me,Humor Me,2018,"Humor Me is a movie starring Joey Slotnick, Bernie McInerney, and Elliott Gould. A once-acclaimed New York playwright, NATE (Jemaine Clement), is struggling to finish his new play when his wife (Maria Dizzia) leaves him, taking...",https://www.imdb.com/video/imdb/vi778156057,tt5658242,6.0,67,Cinemascore,NA
Inside,Inside Man: Most Wanted,2018,"Inside Man: Most Wanted is a movie starring Rhea Seehorn, Roxanne McKee, and Tanya van Graan. An NYPD hostage negotiator teams up with a federal agent to rescue dozens of tourists held hostage during a 10-hour siege at the U.S....",NA,tt7832848,5.2,28,Cinemascore,NA
My Art,My Art,2018,"My Art is a movie starring Blair Brown, Robert Clohessy, and Grace Dunham. A 65-year-old single artist living in New York City has a good life: a stable teaching job, successful friends, and a loyal, aging dog named Bing. As her...",NA,tt5325030,4.2,63,Cinemascore,NA
Paddington 2,Paddington 2,2018,"Paddington 2 is a movie starring Ben Whishaw, Hugh Grant, and Hugh Bonneville. Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect...",https://www.imdb.com/video/imdb/vi3045242905,tt4468740,7.8,100,Cinemascore,NA
Parchi,Parchi,2018,"Parchi is a movie starring Ahmed Ali Akbar, Hareem Farooq, and Usman Mukhtar. A group of friends find themselves in trouble when one receives a chit from the gangster that he owes money to.",https://www.imdb.com/video/imdb/vi2963978265,tt7592758,5.6,,Cinemascore,NA
