movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Code Name: The Cleaner,Code Name: The Cleaner,2007,"Code Name: The Cleaner is a movie starring Cedric the Entertainer, Lucy Liu, and Nicollette Sheridan. An amnesiac wakes up in a hotel room next to a dead FBI agent and $250,000. Is the sexy lady in the lobby his wife? Is he a spy or...",https://www.imdb.com/video/imdb/vi4156424473,tt0462229,4.6,4,Cinemascore,NA
Freedom Writers,Freedom Writers,2007,"Freedom Writers is a movie starring Hilary Swank, Imelda Staunton, and Patrick Dempsey. A young teacher inspires her class of at-risk students to learn tolerance, apply themselves and pursue education beyond high school.",https://www.imdb.com/video/imdb/vi3634888985,tt0463998,7.5,70,Cinemascore,NA
Happily Never After,NA,2007,NA,NA,NA,NA,4,Cinemascore,NA
Thr3e,Thr3e,2007,"Thr3e is a movie starring Marc Blucas, Justine Waddell, and Laura Jordan. Innocent lives hang on the whim of an elusive psychopathic murderer whose strange riddles and impossible timelines force three people into a mission to end...",https://www.imdb.com/video/imdb/vi2717712665,tt0486028,5.0,5,Cinemascore,NA
Alpha Dog,Alpha Dog,2007,"Alpha Dog is a movie starring Emile Hirsch, Justin Timberlake, and Anton Yelchin. Johnny and a couple pals kidnap Jake's 15-year-old brother, Zach, then assigns his buddy Frankie to be Zach's minder. They develop a brotherly...",https://www.imdb.com/video/imdb/vi311690777,tt0426883,6.9,54,Cinemascore,NA
Cheri,Chéri,2007,"Chéri is a movie starring Michelle Pfeiffer, Rupert Friend, and Kathy Bates. The son of a courtesan retreats into a fantasy world after being forced to end his relationship with the older woman who educated him in the ways of love.",https://www.imdb.com/video/imdb/vi15073817,tt1179258,6.2,50,Cinemascore,NA
Frontiers,Frontière(s),2007,"Frontière(s) is a movie starring Karina Testa, Aurélien Wiik, and Patrick Ligardes. A gang of young thieves flee Paris during the violent aftermath of a political election, only to hole up at an Inn run by neo-Nazis.",https://www.imdb.com/video/imdb/vi669057305,tt0814685,6.2,55,Cinemascore,NA
God Grew Tired Of Us,God Grew Tired of Us: The Story of Lost Boys of Sudan,2007,"God Grew Tired of Us: The Story of Lost Boys of Sudan is a movie starring Panther Bior, John Bul Dau, and Nicole Kidman. Four boys from Sudan embark on a journey to America after years of wandering Sub-Saharan Africa in search of...",https://www.imdb.com/video/imdb/vi1780744985,tt0301555,7.9,91,Cinemascore,NA
Goliath,NA,2007,NA,NA,NA,NA,,Cinemascore,NA
Primeval,Primeval,2007,"Primeval is a TV series starring Andrew Lee Potts, Hannah Spearritt, and Ben Miller. When strange anomalies start to appear all over England, Professor Cutter and his team must track down and capture all sorts of dangerous...",https://www.imdb.com/video/imdb/vi1551958553,tt0808096,7.3,18,Cinemascore,NA
Stomp The Yard,Stomp the Yard,2007,"Stomp the Yard is a movie starring Columbus Short, Meagan Good, and Ne-Yo. When his brother is murdered, a street dancer moves to Georgia to work his way thru college. He joins a fraternity's step dancing team for a competition....",https://www.imdb.com/video/imdb/vi327942425,tt0775539,5.4,25,Cinemascore,NA
The Other Side of Paradise,The Other Side of Paradise,2007,"The Other Side of Paradise is a movie starring Arianne Martin, Jack Elliott, and Frank Mosley. ""The Other Side of Paradise"" is a highly entertaining comedy about a girl named Rose who embarks on a journey of self-discovery on the...",https://www.imdb.com/video/imdb/vi4057832473,tt1277960,7.2,,Cinemascore,NA
Alone With Her,Alone with Her,2007,"Alone with Her is a movie starring Ana Claudia Talancón, Colin Hanks, and Jordana Spiro. A quiet but disturbed young man puts the life of a woman he's obsessed with under a virtual microscope when he installs hidden cameras...",https://www.imdb.com/video/imdb/vi4105503001,tt0472259,6.0,69,Cinemascore,NA
The Hitcher,The Hitcher,2007,"The Hitcher is a movie starring Sean Bean, Sophia Bush, and Zachary Knighton. A serial killer pins his crimes on two college students who gave him a ride.",https://www.imdb.com/video/imdb/vi3740467481,tt0455960,5.6,61,Cinemascore,NA
