movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
The Best Offer,La migliore offerta,2014,"La migliore offerta is a movie starring Geoffrey Rush, Jim Sturgess, and Sylvia Hoeks. A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.",https://www.imdb.com/video/imdb/vi1299032089,tt1924396,7.8,55,Cinemascore,NA
Beyond Outrage,Autoreiji: Biyondo,2014,"Autoreiji: Biyondo is a movie starring Toshiyuki Nishida, Tomokazu Miura, and Takeshi Kitano. As the police launch a full-scale crackdown on organized crime, it ignites a national yakuza struggle between the Sanno of the East and...",https://www.imdb.com/video/imdb/vi2816387097,tt1724962,6.8,47,Cinemascore,NA
Interior Leather Bar,Interior. Leather Bar.,2014,"Interior. Leather Bar. is a movie starring Val Lauren, Christian Patrick, and James Franco. Filmmakers James Franco and Travis Mathews re-imagine the lost 40 minutes from Cruising (1980) as a starting point to a broader exploration...",NA,tt2352488,5.1,56,Cinemascore,NA
Jamesy Boy,Jamesy Boy,2014,"Jamesy Boy is a movie starring Spencer Rocco Lofranco, Mary-Louise Parker, and Ving Rhames. A young gang member turns his life around in prison, thanks to the friendship he forms with a convicted murderer who becomes his mentor.",https://www.imdb.com/video/imdb/vi2149558809,tt1673734,6.3,26,Cinemascore,NA
Open Grave,Open Grave,2014,"Open Grave is a movie starring Sharlto Copley, Thomas Kretschmann, and Josie Ho. A man wakes up in the wilderness, in a pit full of dead bodies, with no memory and must determine if the murderer is one of the strangers who rescued...",https://www.imdb.com/video/imdb/vi1003726873,tt2071550,6.2,18,Cinemascore,NA
Paranormal Activity The Marked Ones,Paranormal Activity: The Marked Ones,2014,"Paranormal Activity: The Marked Ones is a movie starring Andrew Jacobs, Jorge Diaz, and Gabrielle Walsh. When a young man becomes the target of a malevolent entity, he must uncover its true intentions before it takes complete...",https://www.imdb.com/video/imdb/vi3524241433,tt2473682,5.0,39,Cinemascore,NA
Black Coffee,Black Coffee,2014,"Black Coffee is a movie starring Darrin Dewitt Henson, Christian Keyes, and Lamman Rucker. Robert (Henson) picked the wrong time to meet his soul mate! After being fired from his own father's company, he feels like his luck has run...",https://www.imdb.com/video/imdb/vi345615129,tt2994646,5.6,,Cinemascore,NA
Cold Comes The Night,Cold Comes the Night,2014,"Cold Comes the Night is a movie starring Alice Eve, Ursula Parker, and Logan Marshall-Green. A struggling motel owner and her daughter are taken hostage by a nearly blind career criminal to be his eyes as he attempts to retrieve his...",https://www.imdb.com/video/imdb/vi3894389273,tt2511428,5.7,44,Cinemascore,NA
Divorce Corp ,Divorce Corp,2014,"Divorce Corp is a movie starring Gloria Allred, Wendy Archer, and Alexandra Borg. More money flows through the family courts, than in all other court systems in America combined, over $50 billion a year. Through extensive research...",https://www.imdb.com/video/imdb/vi270247961,tt2636456,8.1,,Cinemascore,NA
Dumbbells,Dumbbells,2014,"Dumbbells is a movie starring Brian Drolet, Hoyt Richards, and Taylor Cole. A former basketball star suffering from a knee injury looks to rehab himself at a rundown Los Angeles gym.",https://www.imdb.com/video/imdb/vi4129929241,tt1978428,3.4,14,Cinemascore,NA
Evangelion 3.0,Evangerion shin gekijôban: Kyu,2014,"Evangerion shin gekijôban: Kyu is a movie starring Megumi Ogata, Megumi Hayashibara, and Yûko Miyamura. 14 years have passed since the near third impact. Most of the world has changed except Shinji Ikari who awakens, unaged in a new...",https://www.imdb.com/video/imdb/vi3383798553,tt0860907,7.0,,Cinemascore,NA
