movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
The Killing Of John Lennon,The Killing of John Lennon,2008,"The Killing of John Lennon is a movie starring Jonas Ball, Mie Omori, and Krisha Fairchild. A dramatization of Mark Chapman's plan to murder John Lennon.",NA,tt0881934,6.3,39,Cinemascore,NA
One Missed Call,One Missed Call,2008,"One Missed Call is a movie starring Edward Burns, Shannyn Sossamon, and Ana Claudia Talancón. Several people start receiving voice-mails from their future selves - messages which include the date, time, and some of the details of...",NA,tt0479968,4.0,,Cinemascore,NA
The Business Of Being Born,The Business of Being Born,2008,"The Business of Being Born is a movie starring Mary Helen Ayres, Julia Barnett, and Sylvie Blaustein. Birth: it's a miracle. A rite of passage. A natural part of life. But more than anything, birth is a business. Compelled to find...",https://www.imdb.com/video/imdb/vi1922433305,tt0995061,7.4,,Cinemascore,NA
First Sunday,First Sunday,2008,"First Sunday is a movie starring Ice Cube, Katt Williams, and Tracy Morgan. Durell Washington and LeeJohn Jackson are best friends and bumbling petty criminals. When Durell learns that his ex-girlfriend plans to move to another...",https://www.imdb.com/video/imdb/vi3769696537,tt0486578,4.5,12,Cinemascore,NA
In The Name of the King: A Dungeon Siege Tale,In the Name of the King: A Dungeon Siege Tale,2008,"In the Name of the King: A Dungeon Siege Tale is a movie starring Jason Statham, Ron Perlman, and Ray Liotta. A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son, two acts committed by the Krugs,...",https://www.imdb.com/video/imdb/vi884080921,tt0460780,3.8,4,Cinemascore,NA
The Pirates Who Don't Do Anything: A Veggie Tales Movie,The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,"The Pirates Who Don't Do Anything: A VeggieTales Movie is a movie starring Tim Hodge, Mike Nawrocki, and Phil Vischer. Three lazy misfits - very timid Elliot (Larry the Cucumber), lazy Sedgewick (Mr. Lunt) and no self-confident...",https://www.imdb.com/video/imdb/vi112328985,tt0475998,5.7,,Cinemascore,NA
27 Dresses,27 Dresses,2008,"27 Dresses is a movie starring Katherine Heigl, James Marsden, and Malin Akerman. After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's...",https://www.imdb.com/video/imdb/vi598868249,tt0988595,6.1,40,Cinemascore,NA
Blonde Ambition,Blonde Ambition,2008,"Blonde Ambition is a movie starring Jessica Simpson, Luke Wilson, and Rachael Leigh Cook. A young professional woman (Simpson) unwittingly becomes the pawn of two business executives in their bid to oust the head of a...",https://www.imdb.com/video/imdb/vi3803840793,tt0887719,3.9,14,Cinemascore,NA
Cloverfield,Cloverfield,2008,"Cloverfield is a movie starring Mike Vogel, Jessica Lucas, and Lizzy Caplan. A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.",https://www.imdb.com/video/imdb/vi78774553,tt1060277,7.0,77,Cinemascore,NA
Day Zero,Day Zero,2008,"Day Zero is a movie starring Elijah Wood, Chris Klein, and Jon Bernthal. The military draft is back, three best friends are drafted and given 30 days to report for duty. In that time, they're forced to confront everything they...",https://www.imdb.com/video/imdb/vi3282043161,tt0768183,5.9,24,Cinemascore,NA
