movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
Rec 4,[REC] 4: Apocalipsis,2015,"[REC] 4: Apocalipsis is a movie starring Manuela Velasco, Paco Manzanedo, and Héctor Colomé. An ill-fated television reporter is rescued and sent on a voyage across the ocean, but she is followed by the deadly virus that has plagued...",https://www.imdb.com/video/imdb/vi3926112793,tt1649443,5.3,,Cinemascore,NA
The Search For General Tso,The Search for General Tso,2015,"The Search for General Tso is a movie starring Ian Cheney. Who was General Tso, and why are we eating his chicken? This feature documentary explores the origins and ubiquity of Chinese-American food through the story of an iconic...",https://www.imdb.com/video/imdb/vi13875225,tt3576038,6.9,90,Cinemascore,NA
The Taking Of Tiger Mountain,Zhi qu wei hu shan,2015,"Zhi qu wei hu shan is a movie starring Hanyu Zhang, Tony Ka Fai Leung, and Kenny Lin. A story focusing on a conflict between a People's Liberation Army squad and a bandit gang in north-east China during the Chinese revolution.",https://www.imdb.com/video/imdb/vi3833703961,tt3950078,6.5,73,Cinemascore,NA
The Woman In Black 2,The Woman in Black 2: Angel of Death,2015,"The Woman in Black 2: Angel of Death is a movie starring Helen McCrory, Jeremy Irvine, and Phoebe Fox. 40 years after the first haunting at Eel Marsh House, a group of children evacuated from WWII London arrives, awakening the...",https://www.imdb.com/video/imdb/vi847163161,tt2339741,4.8,,Cinemascore,NA
Trace Amounts,Trace Amounts,2015,"Trace Amounts is a movie starring Eric Gladen. After recovering from a devastating sickness that brought him to the edge of despair, Eric Gladen would quit his career, move into an RV, and travel the country for years trying to...",NA,tt3715598,7.5,,Cinemascore,NA
Beloved Sisters,Die geliebten Schwestern,2015,"Die geliebten Schwestern is a movie starring Hannah Herzsprung, Florian Stetter, and Henriette Confurius. The aristocratic sisters Charlotte and Caroline both fall in love with the controversial young writer and hothead Friedrich...",https://www.imdb.com/video/imdb/vi2497427993,tt2790236,6.1,,Cinemascore,NA
Taken 3,Taken 3,2015,"Taken 3 is a movie starring Liam Neeson, Forest Whitaker, and Maggie Grace. Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued, Mills brings out his...",https://www.imdb.com/video/imdb/vi2340859673,tt2446042,6.0,13,Cinemascore,NA
Human Capital,Il capitale umano,2015,"Il capitale umano is a movie starring Fabrizio Bentivoglio, Matilde Gioli, and Valeria Bruni Tedeschi. The destinies of two families are irrevocably tied together after a cyclist is hit off the road by a jeep in the night before...",https://www.imdb.com/video/imdb/vi903658009,tt2465578,7.3,63,Cinemascore,NA
Match,Grudge Match,2015,"Grudge Match is a movie starring Robert De Niro, Sylvester Stallone, and Kim Basinger. A pair of aging boxing rivals are coaxed out of retirement to fight one final bout, thirty years after their last match.",https://www.imdb.com/video/imdb/vi2557192473,tt1661382,6.4,,Cinemascore,NA
Blackhat,Blackhat,2015,"Blackhat is a movie starring Chris Hemsworth, Viola Davis, and Wei Tang. A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.",https://www.imdb.com/video/imdb/vi1590799897,tt2717822,5.4,33,Cinemascore,NA
