movie name,imdb name,year,description,trailer link,movie id,imdb score,rotten score,cinema score,user score
A Different American Dream,A Different American Dream,2017,NA,https://www.imdb.com/video/imdb/vi3586700825,tt5095472,8.0,,Cinemascore,NA
"Accidental Courtesy Daryl Davis, Race and America","Accidental Courtesy: Daryl Davis, Race & America",2017,"Accidental Courtesy: Daryl Davis, Race & America is a movie starring Daryl D. Davis, Kenneth Nwadike, and Michael Wood Jr.. Daryl Davis is an accomplished musician who was played all over the world. He also has an unusual hobby,...",https://www.imdb.com/video/imdb/vi1983690265,tt5390430,7.6,83,Cinemascore,NA
Memory of The Camps,The Memory of Robot Carnival: A Look Back at the History of the Classic Anthology,2017,"The Memory of Robot Carnival: A Look Back at the History of the Classic Anthology is a video starring Mike Toole and Jerry Beck. A visual essay on the making, release and restoration of Robotto kânibaru (1987).",NA,tt8816546,NA,,Cinemascore,NA
The Ardennes,D'Ardennen,2017,"D'Ardennen is a movie starring Kevin Janssens, Jeroen Perceval, and Veerle Baetens. A brutal home-jacking by two brothers goes hopelessly wrong, and one of them goes to prison. Four years later, his brother tries to help him get his...",https://www.imdb.com/video/imdb/vi3703618073,tt2586118,6.8,57,Cinemascore,NA
Underworld Blood Wars,Underworld: Blood Wars,2017,"Underworld: Blood Wars is a movie starring Kate Beckinsale, Theo James, and Tobias Menzies. Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed...",https://www.imdb.com/video/imdb/vi3773478425,tt3717252,5.8,19,Cinemascore,NA
Alone in Berlin,Alone in Berlin,2017,"Alone in Berlin is a movie starring Emma Thompson, Daniel Brühl, and Brendan Gleeson. After a Nazi German working class couple loses their son in World War II, they decide to retaliate by secretly leafletting handwritten cards in...",https://www.imdb.com/video/imdb/vi4124030489,tt3026488,6.5,58,Cinemascore,NA
Bye Bye Man,The Bye Bye Man,2017,"The Bye Bye Man is a movie starring Douglas Smith, Lucien Laviscount, and Cressida Bonas. Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.",https://www.imdb.com/video/imdb/vi1403827737,tt4030600,4.3,19,Cinemascore,NA
Monster Trucks,Monster Trucks,2017,"Monster Trucks is a movie starring Lucas Till, Jane Levy, and Thomas Lennon. A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.",https://www.imdb.com/video/imdb/vi2865935897,tt3095734,5.6,32,Cinemascore,NA
Saving Banksy,Saving Banksy,2017,"Saving Banksy is a movie starring Ben Eine, Glen E. Friedman, and Kelly 'Risk' Graval. Internationally known graffiti artist, Banksy, left his mark on San Francisco in April 2010. Little did he know that this act of vandalism would...",https://www.imdb.com/video/imdb/vi2602612249,tt4036488,6.8,100,Cinemascore,NA
Sleepless,Sleepless,2017,"Sleepless is a movie starring Jamie Foxx, Michelle Monaghan, and Dermot Mulroney. A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.",https://www.imdb.com/video/imdb/vi931509785,tt2072233,5.6,23,Cinemascore,NA
The Book of Love,The Devil and the Deep Blue Sea,2017,"The Devil and the Deep Blue Sea is a movie starring Jason Sudeikis, Maisie Williams, and Jessica Biel. Henry is an introverted architect. After the death of his wife in a car accident, he sets out to help Millie, a homeless...",https://www.imdb.com/video/imdb/vi2369631769,tt1330018,6.0,8,Cinemascore,NA
